स्त्रियो,स्त्री
पहुँचाया,पहुँचा
उपचुनावों,उपचुनाव
रोने,रो
नक़दी,नकदी
परिणामों,परिणाम
हटाया,हटा
परमाणुओं,परमाणु
जीने,जी
क़रार,करार
पहनती,पहन
मचाया,मचा
ज़िला,जिला
ग़ैर,गैर
उपायों,उपाय
चुका,चुक
बदलने,बदल
फेज़,फेज
उतारना,उतार
इंजीनियर्स,इंजीनियर
सहेजने,सहेज
सुरक्षाकर्मियों,सुरक्षाकर्मी
वायरसों,वायरस
पाठ्यक्रमों,पाठ्यक्रम
सीमाओं,सीमा
बजने,बज
मची,मच
बयानबाजियों,बयानबाजी
किताबों,किताब
इजाज़त,इजाजत
पाबंदियों,पाबंदी
गड़ाए,गड़ा
सीढियाँ,सीढी
बसने,बस
नजरों,नजर
बढ़ते,बढ
बुलाई,बुला
परोसने,परोस
बढ़ाया,बढा
अखाड़ा,अखाडा
बनते,बन
पुस्तकों,पुस्तक
सौंपना,सौंप
झलकना,झलक
पांचवें,पांचवा
अपनाती,अपना
जत्थों,जत्था
उपलब्‍ध,उपलब्ध
उच्चायोगों,उच्चायोग
बटोरने,बटोर
खोलेंगे,खोल
प्रेमियों,प्रेमी
सवारियों,सवारी
उपग्रहों,उपग्रह
इस्तीफ़े,इस्तीफा
कतराती,कतरा
जनसभाओं,जनसभा
ख़बर,खबर
दोषारोपों,दोषारोप
डिज़ाइन,डिजाइन
लें,ले
उल्टियों,उल्टी
लिया,ले
अर्जियों,अर्जी
स्कूल्स,स्कूल
बागियों,बागी
नामंज़ूर,नामंजूर
बुजुर्गो,बुजुर्ग
तमिलों,तमिल
दस्तावेज़,दस्तावेज
संभलकर,संभल
प्रजातियों,प्रजाति
लगाया,लगा
बदलवा,बदल
भरा,भर
पदाधिकारियों,पदाधिकारी
निकले,निकल
बुज़ुर्ग,बुजुर्ग
मसलों,मसला
रिपोर्टों,रिपोर्ट
होर्डिंग,होडॅग
चौंकाने,चौंका
खाएँ,खा
प्रमुखों,प्रमुख
जुड़ी,जुड़
उठाएगी,उठा
अपनाने,अपना
चलाते,चला
करेगी,कर
सड़कें,सड़क
मोमबत्तियां,मोमबत्ती
उगलने,उगल
करोंड़ों,करोंड़
नतिनियों,नतिनी
पिलाती,पिला
आवाजों,आवाज
बसाया,बसा
होगी,हो
आख़िरकार,आखिरकार
नहलाया,नहला
"३,७०१",३७०१
करूँगा,कर
आंतकियों,आंतकी
घटनाक्रमों,घटनाक्रम
साइकिल्स,साइकिल
तोड़,तोड
इमारतों,इमारत
तरेरने,तरेर
म्यूजियमों,म्यूजियम
नाराज़,नाराज
खेलते,खेल
मीडियाकर्मियों,मीडियाकर्मी
सिहरा,सिहर
स्तरों,स्तर
गुफ़ा,गुफा
दागकर,दाग
जायज़ा,जायजा
कमरों,कमरा
लड़ने,लड
दोहराते,दोहरा
अच्‍छा,अच्छा
लिखवाई,लिख
छेड़ी,छेड़
जाएँगे,जा
हालातों,हालात
किरणों,किरण
तटरक्षकों,तटरक्षक
राजनीतिज्ञों,राजनीतिज्ञ
अड़े,अड़
बनकर,बन
मंगाकर,मंगा
आया,आ
सुझाई,सुझा
बिंदुओं,बिंदु
कीचड़,कीचड
जाया,जा
हताहतों,हताहत
कश्मीरियों,कश्मीरी
झुठलाते,झुठला
सभी,सब
कारवाइयों,कारवाई
लीलने,लील
जे.,जे
ढूढने,ढूढ
छेड़छाड़,छेडछाड
टाइम्स,टाइम
समझो,समझ
पहाड़ियों,पहाड़ी
भरनी,भर
गूढ़,गूढ
सहेंगे,सह
नवम्बर,नवंबर
खरीदेगी,खरीद
चलाएंगे,चला
पहुंचाया,पहुंच
बनना,बन
भुनाने,भुना
पुत्रियों,पुत्री
लड़का,लडका
बोगियों,बोगी
छोड़ते,छोड़
गड़बड़ियों,गडबडी
मंजिलों,मंजिल
साहिबानों,साहिबान
लक्ष्‍मी,लक्ष्मी
पाएंगीं,पा
नियमों,नियम
मुताबिक़,मुताबिक
ज़ाहिर,जाहिर
उद्यमों,उद्यम
माँसपेशियों,माँसपेशी
टिकने,टिक
खेतों,खेत
हटने,हट
पड़ोस,पडोस
दोहराने,दोहरा
ह़क़,हक
बढ़ाए,बढा
गुप्तचरों,गुप्तचर
राजनयिकों,राजनयिक
उतरे,उतर
कलाकृतियों,कलाकृति
चाटुकारों,चाटुकार
पत्नियां,पत्नी
डाइयां,डाई
लड़ने,लड़
छुआ,छू
सकीं,सक
विदेशियों,विदेशी
समाया,समा
बढ़ाकर,बढ़ा
सुरंगें,सुरंग
खिलाकर,खिला
पहुँचती,पहुँच
खोदने,खोद
दलीलों,दलील
गिराए,गिरा
बोलेंगे,बोल
सुझाने,सुझा
आंगनबाड़ी,आंगनबाडी
मूल्यों,मूल्य
खोने,खो
किनारों,किनारा
छोड़ते,छोड
ह़लफ़नामा,हलफनामा
ताकतों,ताकत
कलाओं,कला
हटाना,हटा
जनजातियां,जनजाति
मांगी,मांग
अंग्रेजों,अंग्रेज
बदमाशों,बदमाश
उछलती,उछल
छोड़िए,छोड
खोला,खोल
पाए,पा
बंदियों,बंदी
लेती,ले
मांगना,मांग
समूहों,समूह
"१,२७,३५७",१२७३५७
उभरने,उभर
पटरियां,पटरी
मांगे,मांग
सधी,सध
जीवों,जीव
सुधारनी,सुधार
ढले,ढल
सप्लायर्स,सप्लायर
अड़चनें,अडचन
मैप्स,मैप
रहता,रह
मानने,मान
हुए...,हो
"20,000",20000
प्रावधानों,प्रावधान
अवसरों,अवसर
कर्मचारियों,कर्मचारी
गाड़ियों,गाड़ी
रुकी,रुक
होनी,हो
पीटा,पीट
डरा,डर
क्रिकेटरों,क्रिकेटर
चौबीसों,चौबीस
नवाज़,नवाज
हटा,हट
बीतते,बीत
परीक्षणों,परीक्षण
कहानियों,कहानी
सटा,सट
फैलाना,फैला
करतीं,कर
मचाएं,मचा
भरते,भर
उखड़,उखड
संस,सन
कीमतों,कीमत
लूटने,लूट
बताना,बता
निकालना,निकाल
रत्नों,रत्न
छोड़ेंगे,छोड़
रेंगते,रेंग
निर्दलियों,निर्दलीय
घेरता,घेर
भुलाया,भुला
जिलों,जिला
इलाक़ों,इलाका
गार्ड्स,गार्ड
सुधरेंगे,सुधर
करदाताओं,करदाता
उठता,उठ
सना,सन
भेजकर,भेज
होना,हो
पहाड़ों,पहाड
सातों,सात
वर्गो,वर्ग
हक़,हक
दस्तावेज़ों,दस्तावेज
जताई,जता
खाते,खा
फ़िलहाल,फिलहाल
सुधारें,सुधार
दागा,दाग
वसूलने,वसूल
दिक्कतें,दिक्कत
खुलवाने,खुलवा
रहते,रह
बुनकरों,बुनकर
जिनके,जो
लुढ़ककर,लुढक
कुर्सियों,कुर्सी
समीकरणों,समीकरण
एयरवेज,एयरवे
फाइलें,फाइल
खिलाने,खिला
मध्‍य,मध्य
ख़िलाफ़,खिलाफ
मंत्रियों,मंत्री
लुढ़क,लुढक
फैलाया,फैला
किसे,कौन
प्रतीकों,प्रतीक
बेड़े,बेडा
छाए,छा
पढ़ाने,पढ़ा
पड़ता,पड़
आकाओं,आका
खिलाफ़,खिलाफ
थमने,थम
बेशक़,बेशक
एन.,एन
घूमते,घूम
लड़ेगा,लड
चढ़ाया,चढा
पढ़ने,पढ
बोतलें,बोतल
लाती,ला
संघों,संघ
स्थलों,स्थल
लपके,लपक
साड़ी,साडी
वेबसाइटों,वेबसाइट
उड़ेंगी,उड़
ईंटें,ईंट
पढ़ाएंगे,पढ़ा
आजमाया,आजमा
बरक़रार,बरकरार
चढ़ाते,चढ़ा
पहुँचाने,पहुँचा
सौंपने,सौंप
सवर्णों,सवर्ण
निकलकर,निकल
लिपटे,लिपट
पहनने,पहन
लड़कों,लड़का
दस्तों,दस्ता
धर्मो,धर्म
जुटा,जुट
कासल्स,कासल
ढूंढा,ढूंढ
छुपाने,छुपा
मजूदरों,मजूदर
थिरकते,थिरक
ठहराने,ठहरा
छाये,छा
दुश्मनों,दुश्मन
जताया,जता
उखाड़ने,उखाड
पेटियां,पेटी
परिस्थितियों,परिस्थिति
बढ़कर,बढ
वायदों,वायदा
हूँ,है
पूछना,पूछ
चौहानों,चौहान
ज़बरदस्त,जबरदस्त
भुनाएगी,भुना
झुकना,झुक
प्रत्यार्पण,प्रत्यर्पण
जुड़े,जुड़
वार्ताकारों,वार्ताकार
चाहती,चाह
गुज़ारिश,गुजारिश
हटाएंगे,हटा
युगलों,युगल
"30,000",30000
वर्षों,वर्ष
बचाते,बचा
रणनीतियों,रणनीति
लाशों,लाश
सब्जियां,सब्जी
पलों,पल
कैदियों,कैदी
पकौड़ी,पकौडी
उत्पादकों,उत्पादक
बदला,बदल
आँकी,आँक
बढ़ने,बढ़
लेंगी,ले
लीजिए,ले
रोजगारों,रोजगार
बनाती,बना
ज़िले,जिला
फैलने,फैल
हकीक़त,हकीकत
वक्ताओं,वक्ता
बिन्दु,बिंदु
डूबे,डूब
भरने,भर
घटती,घट
हिस्सों,हिस्सा
खबरें,खबर
भूले,भूल
आवासों,आवास
देखे,देख
मनाते,मना
बिन्दुओं,बिन्दु
क्लस्टर,कलस्टर
प्रदर्शनकारियों,प्रदर्शनकारी
चलाना,चला
पिलाते,पिला
पड़ाव,पडाव
करवाना,कर
स्टेशनों,स्टेशन
घोटालेबाजों,घोटालेबाज
आंका,आंक
फैलते,फैल
फैलाने,फैला
बिताना,बिता
कराएंगे,करा
उतराती,उतरा
चलाने,चला
सालों,साल
डायमंड्स,डायमंड
खींचते,खींच
हमने,हम
पाठकों,पाठक
झाड़,झाड
घुसपैठियों,घुसपैठिया
मारी,मार
बहनें,बहन
बनाने,बन
उठे,उठ
घुमंतुओं,घुमंतु
नौकाओं,नौका
सुनें,सुन
अलमारियों,अलमारी
रैकेटों,रैकेट
पत्‍थरों,पत्‍थर
डॉलरों,डॉलर
उठाने,उठा
मिलवाया,मिल
युद्धपीड़ितों,युद्धपीड़ित
आयोगों,आयोग
हिलाकर,हिला
मढ़ने,मढ
करवाती,करवा
करेंगे,कर
आना,आ
कार्डों,कार्ड
निर्माताओं,निर्माता
हज़रत,हजरत
सकती,सक
जातीं,जा
कृत्यों,कृत्य
कंकालों,कंकाल
चुराकर,चुरा
वास्‍तव,वास्तव
किसने,कौन
फैक्ट्रियां,फैक्ट्री
थपथपाई,थपथपा
लपटों,लपट
राजदूतों,राजदूत
बिखरने,बिखर
संस्थानों,संस्थान
प्रक्रियाओं,प्रक्रिया
घाटियों,घाटी
हिन्दू,हिंदू
खड़े,खडा
जानना,जान
परिवारवालों,परिवारवाला
हालात,हाल
कमियों,कमी
बजकर,बज
मुकरने,मुकर
बुलाए,बुला
क़दर,कदर
तूफ़ान,तूफान
बातें,बात
अकादमियों,अकादमी
मौतों,मौत
गिरी,गिर
ढंकने,ढंक
सफ़र,सफर
लगाते,लगा
इस्तीफों,इस्तीफा
बच्चों,बच्चा
एकड़,एकड
चैंबरों,चैंबर
वर्गों,वर्ग
खंगालना,खंगाल
शोधों,शोध
डा.,डा
बनवाया,बन
प्रयोगशालाओं,प्रयोगशाला
तरीकों,तरीका
रहें,रह
आपकी,आप
घूमना,घूम
लेबोरेटरीज,लेबोरेटरी
भागों,भाग
पहुँचेगा,पहुँच
कराई,करा
सामग्रियों,सामग्री
ड्राइवरों,ड्राइवर
गुंबदों,गुंबद
प्रतिबद्घताओं,प्रतिबद्घता
पहनी,पहन
"९,५००",९५००
परियोजनाओं,परियोजना
संगठनों,संगठन
हराने,हरा
कोर्सों,कोर्स
उठाएंगे,उठा
उड़ानों,उड़ान
पत्नियों,पत्नी
हमारे,हम
क़ीमत,कीमत
डिसपेंसरियों,डिसपेंसरी
जनरलों,जनरल
जाती,जा
हक़दार,हकदार
किमी.,किमी
अप्लाइंसेज़,अप्लाइंस
खंभों,खंभा
धमकी,धमक
लगाती,लगा
डाला,डाल
पाता,पा
टुकड़ियां,टुकड़ी
हलफनामों,हलफनामा
जिम्मेदारियां,जिम्मेदारी
दिखाए,दिखा
तोड़कर,तोड़
साढ़े,साढे
लेखों,लेखा
उड़ाना,उडा
लेखकों,लेखक
सब्जियों,सब्जी
घावों,घाव
भागने,भाग
बताएगा,बता
उठा,उठ
मारती,मार
उमड़ने,उमड
वाई.,वाई
सबके,सब
पहने,पहन
निहारने,निहार
प्राणियों,प्राणी
कस्में,कस्म
दहली,दहल
निभाना,निभा
शेयरों,शेयर
रोगियों,रोगी
सिंहों,सिंह
तभी,तब
चढ़े,चढ
चीजें,चीज
ढंकी,ढंक
मुस्लमानों,मुस्लमान
साधते,साध
टुकड़ियाँ,टुकडी
गवांनी,गवाँ
प्राप्‍त,प्राप्त
पकड़े,पकड
रिपोर्टें,रिपोर्ट
उड़ान,उडान
"५०,०००",५००००
पार्टियां,पार्टी
रहेंगी,रह
पाती,पा
उड़ाई,उड़ा
बिताए,बिता
उतरा,उतर
आख्यानों,आख्यान
बढ़ावा,बढावा
करवाने,कर
डेढ़,डेढ
हटाकर,हटा
बनाए,बना
फटते,फट
भांपते,भांप
लड़ेंगे,लड़
रिपोर्टरों,रिपोर्टर
भेजा,भेज
जानता,जान
तोड़ा,तोड
सुलझाए,सुलझा
सुधरेगी,सुधर
जिलाध्यक्षों,जिलाध्यक्ष
नियुक्तियाँ,नियुक्ति
देखना,देख
सट्टेबाजों,सट्टेबाज
चलकर,चल
संभाली,संभाल
छोड़ने,छोड़
गुरूओं,गुरू
सिखों,सिख
लिखकर,लिख
चुना,चुन
फौजियों,फौजी
आवश्यकता,आवशयकता
लाएगा,ला
धर्मशालाएँ,धर्मशाला
दोहराती,दोहरा
कहें,कह
गड़बड़ियां,गड़बड़ी
ढूंढ़ा,ढूंढ़
पहाड़ों,पहाड़
रियेक्टरों,रियेक्टर
मठों,मठ
साधनों,साधन
टीमें,टीम
जुड़ा,जुड
आँकड़ें,आँकड़ा
पाएगी,पा
कमाया,कमा
बलों,बल
पढ़ते,पढ़
तलाशा,तलाश
छुड़वाया,छुड़वा
मानता,मान
उलझना,उलझ
ढहने,ढह
छात्रों,छात्र
लिखने,लिख
प्रतिबंधों,प्रतिबंध
जलती,जल
मानदंडो,मानदंड
सम्पूर्ण,संपूर्ण
देना,दे
तामझामों,तामझाम
कारें,कार
घिरी,घिर
मोटर्स,मोटर
किसके,कौन
बाधाओं,बाधा
घुटनों,घुटना
निबटना,निबट
निकलवाकर,निकल
कागज़ी,कागजी
चढ़ा,चढ़
बताओ,बता
गोलों,गोला
निविदाओं,निविदा
छोड़ने,छोड
मोहल्लों,मोहल्ला
मक़बरे,मकबरा
दवाइयों,दवाई
रखा,रख
"२८,७३७",२८७३७
तराशकर,तराश
जाने,जा
नज़र,नजर
सिक्खी,सिक्ख
पार्टनरों,पार्टनर
अक़बर,अकबर
विस्फ़ोट,विस्फोट
कुम्हारों,कुम्हार
हैँ,है
तस्वीरों,तसवीर
समझाया,समझा
रुका,रुक
चलानी,चला
पड़ोसियों,पड़ोसी
लगाएगी,लगा
दौड़े,दौड़
बताई,बता
बिछाया,बिछा
सुझाया,सुझा
लिखना,लिख
पर्यवेक्षकों,पर्यवेक्षक
मचाने,मचा
रही,रह
फंसाया,फँसा
मुकदमें,मुकदमा
दिलाएंगे,दिला
संस्थाएं,संस्था
काटने,काट
ओढ़ाया,ओढ़ा
टुकड़ों,टुकडा
लुभाती,लुभा
तीनों,तीन
यादें,याद
तलाशते,तलाश
भ्रांतियों,भ्रांति
फेरों,फेरा
ज़िम्मेदारी,जिम्मेदारी
आये,आ
पहुंचेगी,पहुंच
निकायों,निकाय
गलियाँ,गली
हृदयेश,हृदयश
सिगरेटों,सिगरेट
बाक़ी,बाकी
महीनों,महीना
सजने,सज
लेगी,ले
युद्घपोतों,युद्घपोत
बादलों,बादल
उड़ानें,उड़ान
सूचनाएं,सूचना
टुकड़ी,टुकडी
उबरते,उबर
बाशिंदों,बाशिंदा
क़ायम,कायम
सुधारों,सुधार
डिजाइंस,डिजाइन
खानों,खाना
खरीदे,खरीद
सिपाहियों,सिपाही
सुनता,सुन
वांछितों,वांछित
कोष्ठकों,कोष्ठक
आकर,आ
परिवारों,परिवार
कड़े,कडा
दौरों,दौरा
अलापा,अलाप
अफ़गानिस्तान,अफगानिस्तान
कहलाता,कहला
धोना,धो
लड़कियों,लडकी
रास्तों,रास्ता
मिलेगीं,मिल
दूरियों,दूरी
मापी,माप
शियाओं,शिया
नागरिकों,नागरिक
पूंजीपतियों,पूंजीपती
पंडितों,पंडित
सम्पन्न,संपन्न
लूटे,लूट
कूदने,कूद
टिकी,टिक
रची,रच
मापदंडों,मापदंड
संवारने,सँवार
लेने,ले
जोड़ती,जोड़
जताएंगे,जता
किस्तों,किस्त
घसीटना,घसीट
भावनाओं,भावना
महारथियों,महारथी
टांगे,टांग
दसियों,दस
देकर,दे
जताए,जता
मिसाइलों,मिसाइल
पेंगें,पेंग
बरसते,बरस
मिलती,मिल
बनवाने,बन
टटोलकर,टटोल
बीते,बीत
करोड़ों,करोड
समेटने,समेट
चाहतीं,चाह
गिनाते,गिना
परिवर्तनों,परिवर्तन
बैचों,बैच
हूं,है
सजाएंगे,सजा
उपकेंद्रों,उपकेंद्र
फिल्माए,फिल्मा
फैलाता,फैला
रुकवाई,रुकवा
पहुंचा,पहुंच
जरूरतों,जरूरत
आएगा,आ
ग्लेशियरों,ग्लेशियर
सुनाएगा,सुना
गलियारों,गलियारा
फेंककर,फेंक
मुझे,मैं
दोनों,दो
खोते,खो
जीती,जीत
संवाददाताओं,संवाददाता
बना,बन
बदलावों,बदलाव
समितियां,समिति
उतरेगा,उतर
परिंदों,परिंदा
लाभार्थियों,लाभार्थी
दस्तावेजों,दस्तावेज
ड्राफ़्ट,ड्राफ्ट
पनपती,पनप
भरना,भर
पढ़ते,पढ
बढ़ाएगा,बढ़ा
बाजारों,बाजार
खरीदकर,खरीद
मुक़ाबला,मुकाबला
लेटे,लेट
सहेलियों,सहेली
उम्मीदें,उम्मीद
बुलाये,बुला
बचेगा,बच
देगा,दे
चमचमाती,चमचमा
भूखंडों,भूखंड
निबटने,निबट
छिपाने,छिपा
व्यवस्थाएं,व्यवस्था
छाने,छान
बख्शा,बख्श
एस.,एस
मंडियों,मंडी
मिटाता,मिटा
दुश्वारियों,दुश्वारी
चीजों,चीज
आवाज़,आवाज
लौटते,लौट
सुनते,सुन
अंगों,अंग
संभालना,संभाल
ढकी,ढक
संभागों,संभाग
घटकर,घट
ग्लोबेट्यूड्स,ग्लोबेट्यूड
अंचलों,अंचल
पहुँचाएं,पहुँचा
कार्यक्रमों,कार्यक्रम
विस्फोटों,विस्फोट
मांगा,मांग
खीझकर,खीझ
मनाने,मना
बटालियनों,बटालियन
पिछड़े,पिछड
तराशे,तराश
खर्चों,खर्च
पुलों,पुल
मेहमानों,मेहमान
उबरना,उबर
फोटोग्राफरों,फोटोग्राफर
बच्चियों,बच्ची
भविष्यवाणियां,भविष्यवाणी
डालकर,डाल
आँखों,आँख
विभागों,विभाग
जाएंगीं,जा
रखते,रख
मुर्गों,मुर्गा
उछालने,उछाल
बढ़ा,बढ़
आईं,आ
बदलेंगे,बदल
बचने,बच
मारकर,मार
"४,००,९६६",४००९६६
उठते,उठ
डी.,डी
बरतनी,बरत
परीक्षाएं,परीक्षा
पूछा,पूछ
ठहरने,ठहर
प्रतिनिधियों,प्रतिनिधि
काजियों,काजी
जानकारियाँ,जानकारी
बचाएगा,बचा
परतों,परत
छेडे,छेड
हफ़्तों,हफ्ता
स्टीकरों,स्टीकर
घेरने,घेर
सोसायटियों,सोसायटी
निकालने,निकाल
पाएगा,पा
लकड़ी,लकडी
इकाइयों,इकाई
जानबूझकर,जानबूझ
मुलाक़ात,मुलाकात
आड़े,आडा
रहेंगे,रह
निकालकर,निकाल
छूने,छू
मिलनी,मिल
एजेंटों,एजेंट
चढ़ने,चढ़
पहचानता,पहचान
चिंगारियां,चिंगारी
हत्याओं,हत्या
बाँधकर,बाँध
उर्वरकों,उर्वरक
तक़नीक,तकनीक
न्यायाधीशों,न्यायाधीश
जुड़ना,जुड़
कड़ी,कडी
पड़ेगा,पड
रोककर,रोक
मवेशियों,मवेशी
रोका,रोक
मास्टरों,मास्टर
उभरते,उभर
ठुकराते,ठुकरा
दौड़ती,दौड़
बोलीं,बोल
"18,230",18230
दाँतो,दाँत
सदियों,सदी
जायेंगी,जा
लाइंस,लाइन
अदालतों,अदालत
छेड़ा,छेड
सैनिकों,सैनिक
उठकर,उठ
चमकती,चमक
जिन,जो
नौकरशाहों,नौकरशाह
तराशा,तराश
रोया,रो
सराहना,सराह
रखें,रख
समानताओं,समानता
रगड़,रगड
दामों,दाम
विधाओं,विधा
बनाकर,बना
अभी,अब
डूबने,डूब
"३७,०००",३७०००
बताया,बता
खबरों,खबर
आश्रितों,आश्रित
राज़ी,राजी
लम्बी,लंबा
स्रोतों,स्रोत
जाएँगीं,जा
छोड़ी,छोड़
कराना,कर
सीरियलों,सीरियल
भाइयों,भाई
नसबंदियां,नसबंदी
हितों,हित
गड़बड़ी,गडबडी
चढ़,चढ
मिलेंगी,मिल
गाँवों,गाँव
पहुंचकर,पहुंच
लाना,ला
काटते,काट
उतरते,उतर
बढ़ाई,बढ़ा
छिपे,छिप
साधकों,साधक
हफ्तों,हफ्ता
लगतीं,लग
इंतज़ार,इंतजार
पद्धतिओं,पद्धति
घिरे,घिर
डालेगा,डाला
पुरूषों,पुरूष
बढ़ेगा,बढ़
हवाएं,हवा
खोली,खोल
कराएं,करा
मुसलमानों,मुसलमान
महासचिवों,महासचिव
पड़ेगी,पड़
कश्मीर,कशमीर
लड़ते,लड
नृत्‍य,नृत्य
अठखेलियाँ,अठखेली
मूर्तियों,मूर्ति
सुधारना,सुधार
लपटें,लपट
उबारने,उबार
हटना,हट
उपकरणों,उपकरण
छेड़ा,छेड़
लड़ेगी,लड
रजिस्ट्रारों,रजिस्ट्रार
मरीजों,मरीज
धड़े,धडा
बत्तियां,बत्ती
उड़ानों,उडान
बिखेरे,बिखेर
बढ़,बढ
तिब्बतियों,तिब्बति
विसंगतियों,विसंगति
तड़प,तडप
छोड़ी,छोड
पड़ीं,पड़
घुसपैठियों,घुसपैठ
घटने,घट
मनाएगा,मना
पांचों,पांच
बर्दाश्त,बर्दाशत
सिद्धांतों,सिद्धांत
"40,490",40490
निर्धनों,निर्धन
आदेशों,आदेश
फलों,फल
कस्बों,कस्बा
टाइगर्स,टाइगर
पहुँचे,पहुँच
आत्महत्याएँ,आत्महत्या
चलता,चल
बढ़ाये,बढा
क़ानून,कानून
विस्फोटकों,विस्फोटक
मान्यताओं,मान्यता
झलकता,झलक
जिसको,जो
"२०,०००",२०
सुने,सुन
घुसे,घुस
खरीदना,खरीद
बरतना,बरत
औपचारिकताएँ,औपचारिकता
दोहराई,दोहरा
बचाने,बचा
हिलाने,हिला
लोगों,लोग
देंगे,दे
बीड्स,बीड
भावनाएं,भावना
अखाड़े,अखाडा
मतदाताओं,मतदाता
डाक्टरों,डाक्टर
कर्ताओं,कर्ता
हवाईअड्डों,हवाईअड्डा
चिथड़े,चिथडा
छोड़ूंगा,छोड़
अधिकारों,अधिकार
कानूनों,कानून
"१३,७००",१३७००
कछुओं,कछुआ
प्रतिभागियों,प्रतिभागी
मतपेटियों,मतपेटी
बातों,बात
लानी,ला
दिखता,दिख
देता,दे
घोषणाएं,घोषणा
देखेंगे,देख
रेलगाड़ियों,रेलगाड़ी
अड़ंगा,अडंगा
पड़ताल,पडताल
बाढ़,बाढ
मामलों,मामला
प्लांटों,प्लांट
बढ़ाएंगे,बढ़ा
ठहरेंगे,ठहर
ख़त्म,खत्म
नारों,नारा
"२२,०००",२२०००
छापामारों,छापामार
उतरेंगे,उतर
आएँ,आ
होंगें,हो
नागालैंडा,नागालैंड
फ्लैटों,फ्लैट
भाषाओं,भाषा
टेपों,टेप
चढ़ा,चढा
गिरना,गिर
समझा,समझ
हक़ीकत,हकीकत
घुसपैठियों,घुसपैठी
बहना,बह
मरा,मर
"१,२७,५११",१२७५११
उतारा,उतार
फ़र्जी,फर्जी
बिताने,बिता
खाना,खा
आँकड़ों,आँकडा
जुटाई,जुटा
जरूरतमंदों,जरूरतमंद
पिलायी,पिला
करानी,करा
बिगड़,बिगड
घटकों,घटक
गोरखाओं,गोरखा
डालीं,डाल
आत्माओं,आत्मा
कीं,कर
कहना,कह
चाहें,चाह
साफ़,साफ
पीढ़ी,पीढी
हारी,हार
साक्ष्यों,साक्ष्य
निभाता,निभा
इकाइयां,इकाई
उठती,उठ
पैरों,पैर
वामदलों,वामदल
कहेंगे,कह
फर्नांडिज,फनॅडिस
अपनाता,अपना
बेजोड़,बेजोड
अपीलों,अपील
करवाते,करवा
पिछड़े,पिछडा
अड़चनें,अड़चन
कराकर,करा
बढ़े,बढ़
रचे,रच
मिलना,मिल
आर.,आर
डालता,डाल
लेकर,ले
मुक़दमे,मुकदमा
मनाए,मना
पड़ी,पड
निखारने,निखार
रुख़,रुख
लाभांवितों,लाभांवित
मुगलों,मुगल
चले,चल
खींचता,खींच
बढ़ना,बढ़
बढ़ाया,बढ़ा
नन्हें,नन्हा
दावों,दावा
नरेन्द्र,नरेंद्र
आजमाने,आजमा
नज़दीक,नजदीक
रखकर,रख
करवाता,कर
पड़,पड
कक्षाओं,कक्षा
विधवाओं,विधवा
अभियुक्तों,अभियुक्त
युवाओं,युवा
छपने,छप
उठाएँगे,उठा
बिके,बिक
सुधरे,सुधर
छिपता,छिप
अपनाया,अपना
"४,८९८",४
मुद्राएं,मुद्रा
पलटी,पलट
जिप्सियों,जिप्सी
खरीदनी,खरीद
उत्तराधिकारियों,उत्तराधिकारी
भागीं,भाग
सुनाई,सुना
वकीलों,वकील
राज्यपालों,राज्यपाल
रहने,रह
सुंदरियों,सुंदरी
सुधारी,सुधार
क्षत्राणियाँ,क्षत्राणी
भराया,भरा
प्रणालियां,प्रणाली
देंगी,दे
यानों,यान
गिरता,गिर
जाएंगे,जा
दिवसों,दिवस
फसलों,फसल
पड़ना,पड
सोचना,सोच
इच्‍छानुसार,इच्छानुसार
जोड़ने,जोड़
"५४,०००",५४
पढ़कर,पढ़
खाता,खा
बैठकों,बैठक
सुविधाओं,सुविधा
साज़िश,साजिश
जनसभाएं,जनसभा
पहलुओं,पहलू
आभूषणों,आभूषण
गिरते,गिर
सांसदों,सांसद
इशारों,इशारा
बेचकर,बेच
रोकते,रोक
ओडीबल्स,ओडीबल
उपभोक्ताओं,उपभोक्ता
सोचते,सोच
आंखें,आंख
समझने,समझ
रुकने,रुक
खुलवाए,खुलवा
सड़ते,सड
दागने,दाग
पाने,पा
मिलने,मिल
अध्ययनों,अध्ययन
छोड़ेगी,छोड़
उठाकर,उठा
सोए,सो
सूझी,सूझ
मानवाधिकारों,मानवाधिकार
पढ़ाई,पढ़ा
शिकारों,शिकारा
"100,000",100000
मालिकों,मालिक
लगाइएगा,लगा
गड़गड़ाहट,गडगडाहट
व्यवसायियों,व्यवसायी
लड़ा,लड़
शोलों,शोला
हटी,हट
विभूतियों,विभूति
सुनना,सुन
तपता,तप
उगलवा,उगल
"१०,०००",१०
ए.डबल्यू.डबल्यू.ए.,ए.डबल्यू.डबल्यू.ए
कर्तव्यों,कर्तव्य
ग्रंथों,ग्रंथ
डूबा,डूब
उठाए,उठा
पहुँचते,पहुँच
छेड़,छेड
महापुरुषों,महापुरुष
चैनलों,चैनल
दिल्लीवासियों,दिल्लीवासी
भेजती,भेज
सोचें,सोच
रचनाकारों,रचनाकार
बीजेंगे,बीज
जिसे,जो
जोड़े,जोड
जाये,जा
महासमुंद,महासमंद
लाया,ला
उत्पादों,उत्पाद
सीटों,सीट
फोड़ना,फोड़
खोएं,खो
खिलवाड़,खिलवाड
अड़ा,अड़
बौद्धों,बौद्ध
