स्त्रियो,स्त्री
ठहरने,ठहर
मिलूंगी,मिल
मनाएगी,मना
मुख्यालयों,मुख्यालय
बदलावों,बदलाव
बनाए,बना
डायमंड्स,डायमंड
लोढ़ा,लोढा
दस्तावेज़,दस्तावेज
माँगी,मांग
रोजगारों,रोजगार
कहती,कह
मार्शलों,मार्शल
करतूतों,करतूत
रखकर,रख
खोला,खोल
फोड़ना,फोड़
कविताएं,कविता
जलता,जल
झुठलाते,झुठला
मंजिलों,मंजिल
हक़ीकत,हकीकत
निखारने,निखार
पन्द्रह,पंद्रह
खाऊंगी,खा
पकौड़ी,पकौडी
धारकों,धारक
धुरंधरों,धुरंधर
छाए,छा
उबरकर,उबर
खुशियां,खुशी
संभालकर,संभाल
वामपंथियों,वामपंथी
गलियाँ,गली
पहाड़ों,पहाड
लौटते,लौट
निभाती,निभा
पगडंडियां,पगडंडी
बनवाने,बन
जाएगा,जा
करेंगे,कर
देती,दे
देगा,दे
हटना,हट
ढंकने,ढंक
किलों,किला
चौहानों,चौहान
बच्चों,बच्चा
फिल्मों,फिल्म
छिपे,छिप
छेडे,छेड
आवाज़,आवाज
गिरता,गिर
डाला,डाल
प्राप्‍त,प्राप्त
करवा,करा
कटी,कट
आरोपों,आरोप
बचाएगा,बचा
पीना,पी
ऑफिसर्स,ऑफिसर
कोशिशों,कोशिश
घेरा,घेर
अपवंचकों,अपवंचक
जे.,जे
सुनें,सुन
आश्चर्यो,आश्चर्य
प्रतिबद्घताओं,प्रतिबद्घता
छीनने,छीन
पक्षियों,पक्षी
गुज़ारा,गुजारा
सीटों,सीट
डॉलरों,डॉलर
दिखाए,दिखा
घेरता,घेर
एजेंसिंयों,एजेंसी
जोड़ने,जोड
कीं,कर
बेची,बेच
बच्चियों,बच्ची
बेचनी,बेच
जलने,जल
बुझाने,बुझा
कुचलकर,कुचल
साधनों,साधन
बढ़े,बढ़
हितैषियों,हितैषी
नाराज़,नाराज
होगीं,हो
हों,हो
चाहें,चाह
सुधारों,सुधार
लिए,ले
गाया,गा
चप्पुओं,चप्पू
कलाकृतियों,कलाकृति
बनाकर,बना
नुमाइंदें,नुमाइंदा
निवेशकों,निवेशक
घावों,घाव
पहुंचीं,पहुंच
बांछें,बांछ
खेमें,खेमा
आइए,आ
लूटने,लूट
परंपराओं,परंपरा
हटाते,हटा
फैसलों,फैसला
महिलाएँ,महिला
सिखाया,सिखा
गुफ़ा,गुफा
टूटा,टूट
सुनाएगा,सुना
रनों,रन
नापने,नाप
तुम्हारे,तुम
क़िला,किला
अलगाववादियों,अलगाववादी
स्थितियाँ,स्थिति
पांचवें,पांचवा
बंटेगा,बंट
टुकड़ियों,टुकडी
दौड़ते,दौड
सौदों,सौदा
"१८,५८७",१८५८७
दिया,दे
बोलियां,बोली
तारीखों,तारीख
ठोंकने,ठोंक
उघाड़,उघाड
थपथपाई,थपथपा
जाएगी,जा
ऑपरेटरों,ऑपरेटर
बे-लगाम,बेलगाम
नमाज़,नमाज
आपका,आप
एड़ी,एडी
छूटने,छूट
रिसने,रिस
छापी,छाप
पट्टियां,पट्टी
डाली,डाल
मछुआरों,मछुआरा
केंद्रों,केंद्र
गिरफ्तारियों,गिरफ्तारी
लड़ूंगी,लड़
हवाएं,हवा
घूमें,घूम
शोलों,शोला
डाकघरों,डाकघर
लकड़ी,लकडी
फेज़,फेज
बंदियों,बंदी
खगोलशास्त्रियों,खगोलशास्त्री
टाला,टाल
गड़ी,गड
फैलाता,फैला
क़ाफिले,काफिला
मोटरसाइकिलों,मोटरसाइकिल
चौंकाने,चौंका
प्रायोजकों,प्रायोजक
सोचिए,सोच
क़दर,कदर
दुकानदारों,दुकानदार
एजेंसियों,एजेंसी
दिनों,दिन
सुर्खियों,सुर्खी
लटकती,लटक
परोसी,परोस
अवश्‍य,अवश्य
लौटी,लौट
जोड़ने,जोड़
मिल्स,मिल
बुलाती,बुला
उतारा,उतार
पढ़ाएंगे,पढ़ा
रखेंगे,रख
बैठाकर,बैठा
रियेक्टरों,रियेक्टर
सफ़र,सफर
बढ़ती,बढ
वर्षो,वर्ष
भागने,भाग
सुधरी,सुधर
तगड़ा,तगडा
गंवाना,गँवा
बांटे,बांट
उड़ाने,उडा
टिप्पणियों,टिप्पणी
निकालना,निकाल
मुस्लिमों,मुस्लिम
यादें,याद
आंकी,आंक
मिशनरीज,मिशनरी
मानकर,मान
डूबा,डूब
बचाई,बचा
मरने,मर
रैलियों,रैली
पिछड़ी,पिछडा
टलने,टल
मंत्रालयों,मंत्रालय
बढ़ी,बढ
होटल्स,होटल
चुराने,चुरा
उग्रवादियों,उग्रवादी
समुद्रों,समुद्र
विधाओं,विधा
रणनीतिकारों,रणनीतिकार
लाएगा,ला
पकाया,पका
कर्मचारियों,कर्मचारी
नौकरियां,नौकरी
देखते,देख
महारथियों,महारथी
मिलाएगा,मिला
दुश्मनों,दुश्मन
मोरचों,मोरचा
जगहें,जगह
कैटरर्स,कैटरर
मेहमानों,मेहमान
तगड़े,तगडा
बोगियों,बोगी
नुमाइंदों,नुमाइंद
दिक्कतों,दिक्कत
जमाकर,जमा
राहें,राह
कामयाबियाँ,कामयाबी
गवांनी,गवाँ
खुलेगा,खुल
धमकाया,धमका
उछलते,उछल
सुझाएगी,सुझा
गाड़ियां,गाड़ी
बुलाये,बुला
लड़े,लड
अपनाई,अपना
पहुंचाई,पहुंचा
स्टेशनों,स्टेशन
पिछड़ी,पिछड
चट्टानें,चट्टान
लगवाती,लग
ठहरे,ठहर
गुरिल्लाओं,गुरिल्ला
आयोजकों,आयोजक
जातीं,जा
बल्लेबाजों,बल्लेबाज
पैरों,पैर
पहुँची,पहुँच
प्रत्यार्पण,प्रत्यर्पण
ख़ाली,खाली
थोड़े,थोडा
कर्मियों,कर्मी
चित्‍तौड़,चित्तौड़
ठिकानों,ठिकाना
पी.,पी
भेजी,भेज
किंकर्तव्यविमूढ़,किंकर्तव्यविमूढ
"४,८२४",४८२४
हमसे,हम
चलकर,चल
नन्हीं,नन्हा
ब्रांडों,ब्रांड
प्रगाढ़,प्रगाढ
पटरियों,पटरी
गरमपंथियों,गरमपंथी
मुक़दमे,मुकदमा
पहुँचा,पहुंच
लगें,लग
गुजरना,गुजर
उतरकर,उतर
फूंका,फूंक
जाये,जा
मानती,मान
थमी,थम
पड़ेगा,पड
छंटने,छंट
बदलने,बदल
लगाना,लगा
रजिस्ट्रारों,रजिस्ट्रार
फिसलकर,फिसल
चलती,चल
खींचना,खींच
सुझाया,सुझा
मांगना,मांग
ज़हरखुरानों,ज़हरखुरान
कहानियां,कहानी
जिसको,जो
भविष्यवाणियों,भविष्यवाणी
बढ़ें,बढ़
शुल्कों,शुल्क
छेड़ने,छेड़
झुका,झुक
छेड़छाड़,छेडछाड
अंधड़,अंधड
खुलेंगी,खुल
दिखते,दिख
बुलाना,बुला
बाढ़,बाढ
कोशिशें,कोशिश
आश्रितों,आश्रित
पडेगा,पड
बेटों,बेटा
घड़े,घडा
माध्यमों,माध्यम
राजनीतिज्ञों,राजनीतिज्ञ
आतिशबाजियों,आतिशबाजी
इंजिनों,इंजिन
कराया,करा
लाइनें,लाइन
र्बैकों,र्बैक
करवाया,कर
आशंकाओं,आशंका
हाज़ी,हाजी
जाना,जान
नक़दी,नकदी
बताने,बता
सुरक्षागार्डों,सुरक्षागार्ड
प्रश्नों,प्रश्न
वेत्ताओं,वेत्ता
घिरने,घिर
बीमारियों,बीमारी
पोछते,पोछ
चुकी,चुक
अपनाना,अपना
प्‍याला,प्याला
घिरी,घिर
चूके,चूक
डालिए,डाल
बन्द,बंद
विस्फ़ोटकों,विस्फोटक
पाकिस्तानियों,पाकिस्तानी
कही,कह
कांग्रेसियों,कांग्रेसी
पहनें,पहन
ट्रेनों,ट्रेन
कड़ा,कडा
पड़ती,पड
छोड़ते,छोड
सुझाई,सुझा
छपीं,छप
फैक्ट्रियों,फैक्ट्री
सूचनाएँ,सूचना
लुढ़क,लुढक
अपनाते,अपना
लगाया,लगा
सुविधाएँ,सुविधा
उपचुनावों,उपचुनाव
समस्याओं,समस्या
मेहराबें,मेहराब
नज़र,नजर
द्रव्यों,द्रव्य
श्रीकृष्‍ण,श्रीकृष्ण
जुटाए,जुटा
सुनाते,सुना
चाहते,चाह
लाखों,लाख
बचते,बच
मोटरसाइकिल्स,मोटरसाइकिल
घटते,घट
मंडलों,मंडल
स्तरों,स्तर
मरा,मर
क्रांतिकारियों,क्रांतिकारी
करीबियों,करीबी
सत्रों,सत्र
लिये,ले
लाएगी,ला
गुजरे,गुजर
डॉक्टरों,डॉक्टर
खटखटाया,खटखटा
पाती,पा
मेरे,मैं
पहनती,पहन
पत्तियों,पत्ती
जिसका,जो
उतारेगा,उतार
मध्‍य,मध्य
लोगों,लोग
जाटों,जाट
कागज़ी,कागजी
सब्जियां,सब्जी
हमलों,हमला
उड़ता,उड
बरसों,बरस
लूटकर,लूट
मानना,मान
सरहदों,सरहद
चुनने,चुन
दोहराती,दोहरा
आंखें,आंख
बांटा,बांट
पाऊंगी,पा
गंवाने,गँवा
करायी,करा
पहने,पहन
आंका,आंक
खादिमों,खादिम
परियोजनाएं,परियोजना
समारोहों,समारोह
तैयारियों,तैयारी
सैनिकों,सैनिक
उपलब्धियों,उपलब्धि
कहानियों,कहानी
बर्तनों,बर्तन
छायाकारों,छायाकार
सौंपे,सौंप
दिए,दे
याचिकाओं,याचिका
सधे,सध
मचा,मच
संयंत्रों,संयंत्र
बरसा,बरस
मजदूरों,मजदूर
नसबंदियां,नसबंदी
वायदों,वायदा
जनजातियां,जनजाति
दवाइयों,दवाई
जीते,जीत
पिघलने,पिघल
संगठनों,संगठन
सटा,सट
चलाती,चला
बनकर,बन
लाते,ला
कुचलने,कुचल
बढ़ेगी,बढ़
मान्‍यता,मान्यता
सीमाएं,सीमा
उत्पादों,उत्पाद
बताई,बता
बिछाया,बिछा
दिखाया,दिखा
बुलाकर,बुला
दफनाया,दफना
न्यायालयों,न्यायालय
होटलों,होटल
लाइन्स,लाइन
पहचानने,पहचान
साह,सह
गतिविधियाँ,गतिविधि
सेनाएं,सेना
करदाताओं,करदाता
रस्सियों,रस्सी
पालकों,पालक
रुपयों,रुपया
अपहर्ताओं,अपहर्ता
लगीं,लग
पर्यटकों,पर्यटक
प्राणियों,प्राणी
बढ़ाएगा,बढ़ा
जहाजों,जहाज
संशोधनों,संशोधन
कलालों,कलाल
संवादों,संवाद
शरणार्थियों,शरणार्थी
भक्तों,भक्त
दबोचते,दबोच
लौटेंगे,लौट
दबाते,दबा
साढ़े,साढे
प्रतियोगिताओं,प्रतियोगिता
"2,500",2500
फ़ोन,फोन
करता,कर
खेलने,खेल
पलड़ा,पलडा
बसें,बस
उठी,उठ
घटती,घट
पहुंचते,पहुंच
लपका,लपक
तोपों,तोप
छाये,छा
सताई,सता
घरों,घर
बिंदुओं,बिंदु
फिल्में,फिल्म
ढंकी,ढंक
आएंगी,आ
मेम्बर,मेंबर
रहने,रह
टैक्सियाँ,टैक्सी
चलो,चल
"२,१००",२१००
युद्घों,युद्घ
अनेकों,अनेक
दुबके,दुबक
बांटने,बांट
देते,दे
मारती,मार
मॉडलों,मॉडल
छाते,छा
मंत्रिगणों,मंत्रिगण
बढ़ाकर,बढ़ा
खेलना,खेल
निहारना,निहार
सपाहियों,सपाई
जलाया,जला
सहेलियों,सहेली
दहली,दहल
बस्तियां,बस्ती
दुखों,दुख
अलगावादियों,अलगावादी
जुटाना,जुटा
पत्रकारों,पत्रकार
पकड़कर,पकड
छहों,छह
के.,का
एग्ज़िबिशन,एग्जिबिशन
बजती,बज
उठाएँगे,उठा
शक़,शक
जाएँ,जा
संभाला,संभाल
सातों,सात
जिनके,जो
दबाया,दबा
पुरातत्वविदों,पुरातत्वविद
बिन्दुओं,बिन्दु
शर्तो,शर्त
चलाता,चला
पकड़,पकड
तटरक्षकों,तटरक्षक
खरीदी,खरीद
बनाएगी,बना
छोड़ना,छोड़
पढ़ाया,पढा
शाखाओं,शाखा
राजनीतिकों,राजनीतिक
केसों,केस
निवेदकों,निवेदक
लगे,लग
जुटाई,जुटा
बाँधने,बाँध
निपटाएं,निपटा
लड़कर,लड
कराऊंगा,करा
कछुओं,कछुआ
संभालेंगीं,संभाल
शहरवासियों,शहरवासी
लगानी,लगा
हूं,है
सड़ते,सड
आदमियों,आदमी
क़रीबी,करीबी
विज्ञापनों,विज्ञापन
साधा,साध
कहा,कह
नक्सलियों,नक्सली
हमने,हम
मुर्गों,मुर्गा
लकड़ियां,लकड़ी
सर्वेयरों,सर्वेयर
बुलाते,बुला
इच्‍छानुसार,इच्छानुसार
ज़ख्मी,जख्मी
रैलियां,रैली
उतारी,उतार
सुनता,सुन
"२०,०००",२००००
शहीदों,शहीद
खेलकर,खेल
निर्दलीयों,निर्दलीय
परम्परागत,परंपरागत
बोई,बो
शासकों,शासक
निपटाए,निपटा
मिलेगीं,मिल
चूड़ियां,चूड़ी
व्यक्तियों,व्यक्ति
पहाड़,पहाड
निकलते,निकल
ओडीबल्स,ओडीबल
लगेंगे,लग
पिलाते,पिला
खोले,खोल
अपराधियों,अपराधी
खासी,खास
अड़चनें,अड़चन
दिखेगा,दिख
फ़रार,फरार
सिक्खी,सिक्ख
साथियों,साथी
विकलांगों,विकलांग
लाठियां,लाठी
रोकते,रोक
आपत्तियां,आपत्ति
परीक्षार्थियों,परीक्षार्थी
लीजिए,ले
मौतों,मौत
कानूनों,कानून
एतराज़,एतराज
उगलवा,उगल
मैचों,मैच
लपटें,लपट
करोड़ो,करोड़
छोड़े,छोड
कारोबारियों,कारोबारी
बिगड़,बिगड
प्रशंसकों,प्रशंसक
दिलाया,दिला
पढ़ा,पढ
चालकों,चालक
माँगें,माँग
लगनी,लग
सुविधाओं,सुविधा
पेचीदगियों,पेचीदगी
जताएंगे,जता
"18,230",18230
दागकर,दाग
क्लस्टरिंग,कलस्टरिंग
जिसके,जो
मुक़ाबले,मुकाबला
कंधों,कंधा
सितारों,सितारा
छुपाने,छुपा
कुल्हड़ों,कुल्हड़
बढ़ाना,बढा
फैक्ट्रियां,फैक्ट्री
धामों,धाम
जाड़े,जाडा
रही,रह
दंगों,दंगा
जरूरतें,जरूरत
रिपोर्टें,रिपोर्ट
परिस्थितियां,परिस्थिति
पाये,पा
बनाएगा,बना
धड़े,धडा
बांधों,बांध
उतरी,उतर
घाटियों,घाटी
देनी,दे
सुइयों,सुई
टेंटों,टेंट
विदेशियों,विदेशी
रिश्तों,रिश्ता
हिल्स,हिल
बनना,बन
मदरसों,मदरसा
कविताओं,कविता
चुने,चुन
समेटने,समेट
गुंडों,गुंडा
अर्थव्यवस्थाओं,अर्थव्यवस्था
जाकर,जा
पाले,पाल
ठगा,ठग
सौंपेगी,सौंप
कार्रवाइयों,कार्रवाई
लगाएंगे,लगा
इंजनों,इंजन
बची,बच
एयरलाइनों,एयरलाइन
सिखों,सिख
डालना,डाल
उपकरणों,उपकरण
ढूँढ़,ढूँढ
वादियों,वादी
मचाने,मचा
परेशानियों,परेशानी
तलाशा,तलाश
जताए,जता
करा,कर
लड़कियां,लड़की
फ़ायदा,फायदा
गंवाई,गंवा
पहुंचकर,पहुंच
"80,000",80000
सुधारते,सुधार
"३,१३,०००",३१३०००
चलाकर,चला
धड़े,धडे
नोएडावासियों,नोएडावासी
समझते,समझ
उपायों,उपाय
बुलाने,बुला
क्षेत्रों,क्षेत्र
बढ़ना,बढ़
छिला,छिल
बेटियों,बेटी
भेजते,भेज
कैंपों,कैंप
दबाएंगे,दबा
आदर्शो,आदर्श
शोधकर्ताओं,शोधकर्ता
दलीलें,दलील
बहकर,बह
उत्पीड़न,उत्पीडन
डूबते,डूब
उबरने,उबर
साड़ी,साडी
बोलते,बोल
ललकारा,ललकार
बैण्ड,बैंड
विसंगतियाँ,विसंगती
सुनाया,सुना
फलों,फल
करें,कर
एसोसिएशंस,एसोसिएशन
सुननी,सुन
बीता,बीत
बीते,बीत
बड़ी,बडा
सदनों,सदन
"आईजी,",आईजी
याचिकाएँ,याचिका
सुपारीवालों,सुपारीवाला
विहारों,विहार
कहेगी,कह
फैले,फैल
हारकर,हार
बढ़ाई,बढा
विमानों,विमान
भरते,भर
महासचिव,महसचिव
बाज़ार,बाजार
खींची,खींच
उबरते,उबर
हवाओं,हवा
बदलती,बदल
होती,हो
जेलें,जेल
मंगाए,मंगा
सोए,सो
आपके,आप
आपत्तियों,आपत्ति
छुपे,छुप
बीतते,बीत
राजनयिकों,राजनयिक
भटकाने,भटका
पहाड़ियों,पहाड़ी
कमरों,कमरा
उड़ती,उड़
डालता,डाल
नजारों,नजारा
दिवसों,दिवस
खोजी,खोज
घेरने,घेर
बनवाए,बना
उठाया,उठा
बिफरे,बिफर
छोड़ेगी,छोड़
उड़ेंगी,उड़
शर्तों,शर्त
जाएंगीं,जा
संकेतों,संकेत
सैकड़ों,सैकडा
हैँ,है
चहकते,चहक
३२९३२९,३२९
रुके,रुक
नागालैंडा,नागालैंड
पढ़ाए,पढ़ा
"१,४००",१४००
घुमंतुओं,घुमंतु
डाले,डाल
बिल्लियां,बिल्ली
टेपों,टेप
कड़ियों,कडी
हूँ,है
अंकों,अंक
लौटाने,लौटा
बजकर,बज
शस्त्रों,शस्त्र
पीपुल्स,पीपुल
इंडस्ट्रीज,इंडस्ट्री
जिनकी,जो
बीजेंगे,बीज
ख़त्म,खत्म
कसता,कस
जुलता,जुल
छीनी,छीन
जुड़े,जुड़
ढूढने,ढूढ
कार्यों,कार्य
परिसरों,परिसर
गढ़वाल,गढवाल
बाउंडरीज,बाउंडरी
किनारों,किनारा
नरेन्द्र,नरेंद्र
बालिकाओं,बालिका
जानना,जान
खुदाइयों,खुदाई
इंतजामों,इंतजाम
नकारते,नकार
सिक्खों,सिक्ख
चोटें,चोट
छाने,छान
सितम्बर,सितंबर
स्टडीज़,स्टडी
भ्रांतियों,भ्रांति
ख़ुफिया,खुफिया
निकालने,निकाल
नागरिकों,नागरिक
आएंगे,आ
दस्तावेजों,दस्तावेज
चारों,चार
सीखने,सीख
गिरफ़्तारी,गिरफ्तारी
शिपयार्डो,शिपयार्ड
डालीं,डाल
डिस्ट्रीब्यूटरों,डिस्ट्रीब्यूटर
साधते,साध
जायेंगी,जा
लेंगी,ले
जानते,जान
खटखटाना,खटखटा
लौटेगी,लौट
शोषितों,शोषित
कहलाने,कहला
कमाए,कमा
दलों,दल
मस्जिदों,मस्जिद
पीड़ितों,पीडित
निर्देशकों,निर्देशक
फैलाए,फैला
मिसाइलों,मिसाइल
चढ़ा,चढ़
दर्शनार्थियों,दर्शनार्थी
कैंटीनों,कैंटीन
वही,वह
लेबोरेटरीज,लेबोरेटरी
केन्द्रीय,केंद्रीय
प्रतिमाओं,प्रतिमा
गौड़,गौड
दिखाएगा,दिखा
पहुँचेगी,पहुँच
चीफ़,चीफ
फैलाया,फैला
चमड़ा,चमडा
अफ़गानिस्तान,अफगानिस्तान
लाती,ला
बढा,बढ
बढ़कर,बढ
कारवाइयों,कारवाई
ठहरेंगे,ठहर
भागीं,भाग
सवालों,सवाल
लम्बी,लंबा
बचें,बच
साधकों,साधक
हथौड़े,हथौडा
परिस्थितियों,परिस्थिति
कीमतें,कीमत
जुड़ा,जुड़
खरीदे,खरीद
कानूनविदों,कानूनविद
मनाएगीं,मना
करानी,करा
खंभों,खंभा
खरीदने,खरीद
ढकेलने,ढकेल
बनायीं,बना
भगोड़े,भगोडा
आता,आ
दूंगी,दे
लहराएगा,लहरा
झुकें,झुक
पढ़ना,पढ
उड़ाने,उडान
भोगने,भोग
कहें,कह
सटे,सट
जहाज़,जहाज
शाखाएं,शाखा
यानों,यान
चाहिए,चाह
थामे,थाम
खीझकर,खीझ
जिन्होंने,जो
छोड़ी,छोड़
कथाओं,कथा
कराकर,करा
शियाओं,शिया
फंसाया,फँसा
समझता,समझ
जिनको,जो
तक़नीक,तकनीक
सुनना,सुन
लड़कियों,लडकी
कराना,करा
रखेगा,रख
करनी,कर
यादों,याद
सिफारिशें,सिफारिश
अड़े,अड़
कुरेदने,कुरेद
हिन्दू,हिंदू
छोड़ने,छोड
घुसपैठियों,घुसपैठिया
दिलाना,दिला
खेले,खेल
पहनना,पहन
बचेगा,बच
निकायों,निकाय
"थी,",था
मीनारों,मीनार
कंप्यूटरों,कंप्यूटर
कयासों,कयास
सुलझाया,सुलझा
छात्राओं,छात्रा
व्यवसायियों,व्यवसायी
डालने,डाल
घटकर,घट
सुलझता,सुलझ
बचती,बच
खाते,खा
सिद्घांतों,सिद्घांत
भांपना,भांप
अंशधारकों,अंशधारक
देखेंगे,देख
टुकड़ियां,टुकड़ी
पीढ़ी,पीढी
एच.,एच
पहुंचने,पहुंच
"१,५००",१५००
थमा,थम
सोचें,सोच
छिड़ककर,छिड़क
सृजनात्‍मक,सृजनात्
पलटी,पलट
बिठाकर,बिठा
कारखानों,कारखाना
सपनों,सपना
अविस्‍मरणीय,अविस्मरणीय
बताता,बता
पाना,पा
पड़ोस,पडोस
पहना,पहन
जगाने,जगा
राजस्‍थान,राजस्थान
प्रस्तावों,प्रस्ताव
नारों,नारा
जाएंगी,जा
घटाए,घटा
बंटे,बंट
लड़ते,लड
पंछियों,पंछी
व्यवस्थाओं,व्यवस्था
जोड़ती,जोड़
रखनी,रख
युवकों,युवक
साक्ष्यों,साक्ष्य
लगाकर,लगा
कूदी,कूद
घुट्टियां,घुट्टी
उठायी,उठा
उतरेगा,उतर
चलीं,चल
रहीं,रह
राष्ट्रपतियों,राष्ट्रपति
आया,आ
मिलने,मिल
उड़ान,उडान
आएगा,आ
गाड़ियाँ,गाड़ी
काफ़िले,काफिला
मल्टीपलेक्सेज,मल्टीपलेक्स
चलाया,चला
नगरों,नगर
क्यू.,क्यू
लेनी,ले
गेंदबाजों,गेंदबाज
बांग्लादेशियों,बांग्लादेशी
खिड़कियों,खिड़की
उड़,उड
बैठा,बैठ
अपवादों,अपवाद
नियुक्तियाँ,नियुक्ति
सिंहों,सिंह
सराहना,सराह
लिपटे,लिपट
गार्ड्स,गार्ड
लड़ेगी,लड
बिछा,बिछ
लगाती,लगा
बताएगा,बता
दस्तों,दस्ता
दाँतो,दाँत
इस्तीफ़ा,इस्तीफा
लगने,लग
हड़ताल,हडताल
ज़िले,जिला
तुमने,तुम
झलकता,झलक
सोचना,सोच
बंटाने,बंटा
स्थलों,स्थल
निकालती,निकाल
बसी,बस
चिट्ठियां,चिट्ठी
उठाती,उठा
थोड़ी,थोडा
मुसलमानों,मुसलमान
फैलकर,फैल
तुले,तुल
बताएं,बता
सुनी,सुन
लुभाती,लुभा
सीमाओं,सीमा
वर्गो,वर्ग
कलाकृतियाँ,कलाकृति
सीखा,सीख
निपटाएंगे,निपटा
फार्मूलों,फार्मूला
पहुँचाया,पहुँचा
"60,735",60735
गूँजा,गूँज
उखाड़कर,उखाड
दलितों,दलित
गुप्तचरों,गुप्तचर
डिसपेंसरियों,डिसपेंसरी
फैलती,फैल
बनाई,बना
फौजों,फौज
पंचायतों,पंचायत
उठाइएगा,उठा
फेंका,फेंक
चिथड़े,चिथडा
जीतते,जीत
मुकरने,मुकर
घटनाएं,घटना
छोड़ना,छोड
जुड़ी,जुड़
प्रधानमंत्रियों,प्रधानमंत्री
सोचकर,सोच
बिके,बिक
चुना,चुन
मनवाते,मनवा
करवाते,करवा
बहनों,बहन
परीक्षाएं,परीक्षा
उठानी,उठा
पड़ा,पड़
खाया,खा
छतरियाँ,छतरी
झलकना,झलक
टाइम्स,टाइम
उतारेंगे,उतार
दसियों,दस
बढ़ेगा,बढ़
सर्विसेज,सर्विस
आतंकवादियों,आतंकवादी
मिलाया,मिला
उठाएं,उठा
परतों,परत
स्लाइड्स,स्लाइड
कीटनाशकों,कीटनाशक
आजमाया,आजमा
"१५०,०००",१५००००
बागियों,बागी
हकीक़त,हकीकत
उधेड़ी,उधेड
सभाओं,सभा
पाएंगे,पा
बताते,बता
हदें,हद
पहुँचा,पहुँच
प्रतिबंधों,प्रतिबंध
बढ़ावा,बढावा
इमारतें,इमारत
करे,कर
इंजीनियरों,इंजीनियर
अभी,अब
दुश्वारियों,दुश्वारी
खेलते,खेल
ठहराती,ठहरा
ज़िक्र,जिक्र
बसों,बस
फिल्माए,फिल्मा
टालने,टाल
सकेंगी,सक
मौकों,मौका
खिलाड़ी,खिलाडी
जजों,जज
पंहुचने,पंहुच
घबराए,घबरा
परेशानियां,परेशानी
पदचिन्हों,पदचिन्ह
सप्लायर्स,सप्लायर
करारों,करार
मीडियाकर्मियों,मीडियाकर्मी
जताने,जता
चुनावों,चुनाव
सिखाने,सिखा
फेंके,फेंक
स्वयंसेवकों,स्वयंसेवक
रखना,रख
मानने,मान
बोलेंगे,बोल
उगाने,उगा
बढ़ता,बढ़
बुनकरों,बुनकर
देने,दे
नुक़सान,नुकसान
योद्धाओं,योद्धा
बढ़ाया,बढ़ा
रचनाकारों,रचनाकार
करवाती,करवा
कंपनियां,कंपनी
पौने,पौन
पहुंचे,पहुंच
मंत्रोच्चारों,मंत्रोच्चार
मोटरसाइकिलें,मोटरसाइकिल
बिताए,बिता
त्यागकर,त्याग
हीरों,हीरा
जिससे,जो
पहुँचने,पहुँच
ग्रुपों,ग्रुप
बढ़ते,बढ़
रचे,रच
खोदने,खोद
जनआंदोलनों,जनआंदोलन
डटकर,डट
"600,000",600000
फंसी,फँस
सजी,सज
प्रियजनों,प्रियजन
धोए,धो
पकड़ने,पकड
मोटर्स,मोटर
जोड़े,जोड
कढ़ाई,कढाई
धरोहरें,धरोहर
लगाते,लगा
ढूंढ़ा,ढूंढ़
"२९,०००",२९०००
काजियों,काजी
गुनियों,गुनी
बख्शा,बख्श
चैनलों,चैनल
वेंडरों,वेंडर
हिस्सों,हिस्सा
आपदाओं,आपदा
आयुधों,आयुध
दृढ़,दृढ
खटखटाओ,खटखटा
पड़ना,पड
भुनाना,भुना
बनता,बन
फरेबियों,फरेबी
लाभार्थियों,लाभार्थी
बैठी,बैठ
टेलीफ़ोन,टेलीफोन
विरोधियों,विरोधी
उछाला,उछाल
मनाएंगे,मना
झेलनी,झेल
चराने,चरा
उबारा,उबार
लुटाने,लुटा
ज़माने,जमाना
भरा,भर
उठाएंगे,उठा
सूचनाएं,सूचना
मापी,माप
युद्धों,युद्ध
घटकों,घटक
छतें,छत
बचाना,बचा
घोटालेबाजों,घोटालेबाज
लम्बे,लंबा
दवाओं,दवा
तत्वों,तत्व
जिताने,जिता
दौड़ती,दौड़
निबटाने,निबटा
उभरते,उभर
खाता,खा
टुकड़ी,टुकडी
चले,चल
घिरे,घिर
उकेरी,उकेर
मंडियों,मंडी
पदों,पद
अभिभावकों,अभिभावक
गाड़ी,गाडी
संभाली,संभाल
होगी,हो
छिपा,छिप
परीक्षाओं,परीक्षा
भेजेंगे,भेज
नोटों,नोट
आकृतियाँ,आकृति
टोही,टोह
ढंके,ढंक
पुस्तकें,पुस्तक
पिछड़ों,पिछड़ा
ब्रोकरों,ब्रोकर
सके,सक
मोमबत्तियां,मोमबत्ती
ज़ब्ती,जब्ती
वजहों,वजह
पहलुओं,पहलू
छिड़े,छिड
"१०,५६४",१०५६४
भेजेगा,भेज
आलोचनाओं,आलोचना
धर्मो,धर्म
बालाओं,बाला
गाँवों,गाँव
उकसाने,उकसा
वलयों,वलय
मुठभेड़,मुठभेड
थिंग्स,थिंग
पड़ोसी,पडोसी
विष्‍णु,विष्णु
उबालकर,उबाल
ओढ़कर,ओढ
यूनियनों,यूनियन
विज्ञानियों,विज्ञानी
खोलना,खोल
वृक्षों,वृक्ष
बदले,बदल
अध्ययनों,अध्ययन
निर्धनों,निर्धन
चेताया,चेता
बैठने,बैठ
न्यायाधीशों,न्यायाधीश
डाक्टरों,डाक्टर
